Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Composer,Artist,Licensed,official_video,Album_type
0.0,0.000273359449,3.0,-25.176,0.0443,0.7241507920000001,6.19e-05,0.000806954491,0.34,83.398,117907.0,73671221.26614831,137622.0,19981370.0,6,34.0,0,0,2.0
0.0,0.1842200089999999,7.0,-12.390073018845506,,0.672221376,0.91,0.034965783,0.746,148.692,173427.0,184825.0,5190.0,,10,32.0,0,0,
0.0,0.0543369433919526,6.0,-15.596,,0.667627624,0.867,0.0017715609999999,0.38,84.899,150667.0,184825.0,5190.0,19320810.0,10,13.0,0,0,
1.0,0.2095845839999999,,-6.251,0.0277,0.003796416,,0.001,,150.22,265000.0,202457327.0,997035.0,399661898.0,5,86.0,1,0,2.0
4.0,,5.0,-6.219845635546899,0.026,3.0486250000000004e-06,0.000467,0.0029242069999999,0.295,97.997,263867.0,316688049.0,1299086.0,,8,74.0,1,1,2.0
6.0,0.442450728,7.0,-6.220008469770937,0.0326,1.7575999999999996e-05,0.0,0.000944076141,0.842,103.032,260560.0,249074.0,922.0,201457474.0,3,41.0,0,0,2.0
0.0,0.2258665289999999,10.0,-8.964359182407271,0.0323,0.291434247,1.13e-05,0.010793861,,166.668,258027.0,76758188.0,252380.0,136332369.0,10,88.0,1,1,2.0
6.0,0.4949136710000001,10.0,-6.63,0.0414,4.9836032e-05,0.0,0.000334255384,0.879,116.043,,105107732.0,740856.0,140211873.0,3,56.0,1,1,2.0
1.0,0.8986321249999999,10.0,-5.022,,4.826808999999999e-12,,0.000622835864,0.347,125.152,262000.0,22878351.0,93766.0,128201040.0,10,28.0,0,1,2.0
5.0,,,-7.09355630865552,0.0261,0.0789535889999999,,0.0052680239999999,0.677,106.191,170493.0,44458549.0,276258.0,105775598.0,5,,1,1,2.0
1.0,0.3548949119999999,1.0,-6.220383840139415,0.0301,5.1064811e-05,0.0,0.0009880479359999,0.612,164.001,203438.0,2419753.0,554850.6584078296,15191393.0,8,74.0,0,0,2.0
3.0,0.6294227929999999,5.0,-5.173,0.0589,2.7818127000000002e-08,2.23e-06,0.0229063039999999,0.759,96.231,260400.0,86252134.0,357275.0,53372857.0,5,,1,1,2.0
2.0,0.144703125,6.0,-7.31,0.0341,0.0050884479999999,0.0,0.002406104,0.291,156.207,204640.0,26341526.0,83668.0,45956641.0,5,76.0,0,0,2.0
0.0,0.0065392029999999,2.0,-25.525050545396823,,0.967361669,,0.001030301,0.213,132.731,,88490455.0,1939359.0,427523589.0,10,75.0,0,1,1.0
1.0,1.2167e-05,0.0,-29.372,0.0364,0.921167317,0.915,,0.226,132.813,96625.0,86950.0,955.0,5016602.0,4,32.0,1,1,1.0
2.0,0.0033749999999999,,-22.415,0.0355,0.944076141,0.94,0.0018608669999999,,134.311,89601.0,86950.0,955.0,8273038.0,5,39.0,1,1,2.0
0.0,0.003869893,4.0,-16.714,0.0331,0.941192,0.0103,0.000586376253,0.319,77.483,175644.0,2273744.0,554850.6551187005,26635618.0,8,72.0,1,1,
1.0,0.000340068392,6.0,-16.827,,0.973242271,0.103,0.001295029,0.232,105.202,187373.0,9236037.0,62809.0,29325998.0,10,87.0,1,1,2.0
0.0,0.036926037,3.0,-13.012,,0.327595024178427,0.594,0.020570824,0.272,144.553,272467.0,73679237.75682074,240853.0,23145970.0,7,37.0,0,1,1.0
5.0,0.031255875,6.0,-13.781,0.0388,0.6162950509999999,0.000261,0.0018608669999999,0.578,125.231,194000.0,1870898.0,35807.0,,5,32.0,1,1,2.0
0.0,0.036264691,8.0,-12.953,0.0648,0.8439086249999999,0.0263,0.0462682789999999,0.576,170.721,162286.0,19436.0,1119.0,9516698.0,10,90.0,0,0,1.0
1.0,0.0133120529999999,6.0,-14.936,0.0334,0.7660608750000001,0.807,0.0018608669999999,0.082,117.069,217606.0,706018.0,7201.0,19457528.0,3,87.0,0,1,
9.0,0.258474853,1.0,-6.219813004165089,0.101,1.3738809599999996e-07,2.5e-06,0.000881974079,0.569,119.988,272080.0,409897329.0,1749518.0,450534734.0,2,3.0,1,1,2.0
5.0,0.437245479,6.0,-4.315,0.306,2.8632880000000007e-06,0.0,,0.518,85.996,324307.0,295026831.0,2212839.0,227592322.0,0,90.0,1,1,2.0
8.0,0.529475129,4.0,-6.759,0.251,0.0869383069999999,0.00175,0.000230346397,0.737,83.011,231240.0,60823771.0,403945.0,220334731.0,0,23.0,1,1,2.0
9.0,0.241804367,,-6.711,0.303,6.44972544e-07,4.19e-06,,0.715,99.498,,31503357.0,293459.0,,2,2.0,1,1,2.0
2.0,0.7863304670000001,10.0,-3.99,0.304,0.0181567256725372,1.2e-05,0.001331,0.72,79.675,237233.0,2434744.0,63107.0,16694375.0,8,88.0,0,1,
3.0,,10.0,-6.219817919683086,0.339,5.759303679999998e-07,5.87e-05,0.458314011,0.78,136.734,158467.0,12105762.0,145123.0,53722491.0,8,23.0,1,1,2.0
5.0,,,,0.37,,0.000108,0.007645373,0.442,138.335,,73500123.0,547052.0,41668859.0,3,11.0,1,1,2.0
2.0,0.1140841249999999,5.0,-13.131,0.439,0.4967930880000001,0.00198,0.0010612079999999,0.698,174.836,202451.0,518998.0,19870.0,3718088.0,5,56.0,1,0,2.0
5.0,0.2236485429999999,4.0,,0.219,,,0.000354894912,0.526,86.055,252360.0,295026831.0,588177.1543334137,27414643.0,0,19.0,1,1,
