Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,id,Composer,Artist,Licensed,Album_type,official_video
0,0.000273359,3.0,-25.176,0.0443,0.724150792,6.19e-05,0.000806954,0.34,83.398,117907.0,77672386.47,137622.0,19981370.0,0,6,34.0,0,2.0,0
0,0.184220009,7.0,-12.61676718,,0.672221376,0.91,0.034965783,0.746,148.692,173427.0,184825.0,5190.0,,1,10,32.0,0,,0
0,0.068281798,6.0,-15.596,,0.667627624,0.867,0.001771561,0.38,84.899,150667.0,184825.0,5190.0,19320810.0,2,10,13.0,0,,0
1,0.209584584,,-6.251,0.0277,0.003796416,,0.001,0.53881086,150.22,265000.0,202457327.0,997035.0,399661898.0,3,5,86.0,1,2.0,0
4,,5.0,-6.186317326,0.026,3.05e-06,0.000467,0.002924207,0.295,97.997,263867.0,316688049.0,1299086.0,,4,8,74.0,1,2.0,1
6,0.442450728,7.0,-6.186501138,0.0326,1.76e-05,0.0,0.000944076,0.842,103.032,260560.0,249074.0,922.0,201457474.0,5,3,41.0,0,2.0,0
0,0.225866529,10.0,-10.01617429,0.0323,0.291434247,1.13e-05,0.010793861,0.482452516,166.668,258027.0,76758188.0,252380.0,136332369.0,6,10,88.0,1,2.0,1
6,0.494913671,10.0,-6.63,0.0414,4.98e-05,0.0,0.000334255,0.879,116.043,,105107732.0,740856.0,140211873.0,7,3,56.0,1,2.0,1
1,0.898632125,10.0,-5.022,,4.83e-12,,0.000622836,0.347,125.152,262000.0,22878351.0,93766.0,128201040.0,8,10,28.0,0,2.0,1
5,,,-7.278729067,0.0261,0.078953589,,0.005268024,0.677,106.191,170493.0,44458549.0,276258.0,105775598.0,9,5,,1,2.0,1
1,0.354894912,1.0,-6.1869249,0.0301,5.11e-05,0.0,0.000988048,0.612,164.001,203438.0,2419753.0,562712.3533,15191393.0,10,8,74.0,0,2.0,0
3,0.629422793,5.0,-5.173,0.0589,2.78e-08,2.23e-06,0.022906304,0.759,96.231,260400.0,86252134.0,357275.0,53372857.0,11,5,,1,2.0,1
2,0.144703125,6.0,-7.31,0.0341,0.005088448,0.0,0.002406104,0.291,156.207,204640.0,26341526.0,83668.0,45956641.0,12,5,76.0,0,2.0,0
