id,Danceability
17170,4.0
17171,3.0
17172,4.0
17173,4.0
17174,6.0
17175,4.0
17176,5.0
17177,3.0
17178,4.0
17179,4.0
17180,6.0
17181,5.0
17182,5.0
17183,5.0
17184,4.0
17185,4.0
17186,5.0
17187,4.0
17188,5.0
17189,5.0
17190,6.0
17191,5.0
17192,5.0
17193,7.0
17194,4.0
17195,5.0
17196,7.0
17197,5.0
17198,8.0
17199,4.0
17200,5.0
17201,5.0
17202,3.0
17203,4.0
17204,5.0
17205,4.0
17206,6.0
17207,3.0
17208,4.0
17209,4.0
17210,6.0
17211,6.0
17212,3.0
17213,8.0
17214,5.0
17215,6.0
17216,6.0
17217,5.0
17218,4.0
17219,5.0
17220,5.0
17221,4.0
17222,6.0
17223,6.0
17224,5.0
17225,3.0
17226,4.0
17227,5.0
17228,4.0
17229,4.0
17230,5.0
17231,4.0
17232,4.0
17233,4.0
17234,4.0
17235,5.0
17236,4.0
17237,3.0
17238,3.0
17239,3.0
17240,3.0
17241,2.0
17242,2.0
17243,5.0
17244,4.0
17245,5.0
17246,5.0
17247,5.0
17248,5.0
17249,5.0
17250,3.0
17251,3.0
17252,5.0
17253,5.0
17254,5.0
17255,6.0
17256,4.0
17257,6.0
17258,5.0
17259,4.0
17260,4.0
17261,5.0
17262,5.0
17263,6.0
17264,5.0
17265,6.0
17266,4.0
17267,4.0
17268,7.0
17269,5.0
17270,6.0
17271,6.0
17272,3.0
17273,6.0
17274,6.0
17275,5.0
17276,5.0
17277,4.0
17278,5.0
17279,5.0
17280,5.0
17281,5.0
17282,2.0
17283,9.0
17284,8.0
17285,6.0
17286,5.0
17287,4.0
17288,6.0
17289,6.0
17290,6.0
17291,5.0
17292,8.0
17293,5.0
17294,6.0
17295,8.0
17296,4.0
17297,4.0
17298,6.0
17299,7.0
17300,6.0
17301,7.0
17302,4.0
17303,5.0
17304,6.0
17305,6.0
17306,6.0
17307,5.0
17308,3.0
17309,6.0
17310,5.0
17311,6.0
17312,6.0
17313,6.0
17314,6.0
17315,7.0
17316,6.0
17317,6.0
17318,5.0
17319,5.0
17320,7.0
17321,5.0
17322,4.0
17323,5.0
17324,5.0
17325,5.0
17326,5.0
17327,4.0
17328,4.0
17329,6.0
17330,3.0
17331,7.0
17332,5.0
17333,4.0
17334,4.0
17335,4.0
17336,6.0
17337,4.0
17338,6.0
17339,5.0
17340,6.0
17341,6.0
17342,4.0
17343,3.0
17344,4.0
17345,4.0
17346,4.0
17347,4.0
17348,4.0
17349,3.0
17350,5.0
17351,4.0
17352,8.0
17353,6.0
17354,5.0
17355,4.0
17356,8.0
17357,5.0
17358,6.0
17359,5.0
17360,6.0
17361,6.0
17362,8.0
17363,5.0
17364,5.0
17365,6.0
17366,5.0
17367,5.0
17368,5.0
17369,5.0
17370,8.0
17371,6.0
17372,5.0
17373,5.0
17374,4.0
17375,5.0
17376,5.0
17377,1.0
17378,4.0
17379,5.0
17380,4.0
17381,7.0
17382,7.0
17383,5.0
17384,7.0
17385,6.0
17386,6.0
17387,5.0
17388,5.0
17389,5.0
17390,7.0
17391,4.0
17392,5.0
17393,6.0
17394,5.0
17395,4.0
17396,6.0
17397,7.0
17398,4.0
17399,5.0
17400,5.0
17401,5.0
17402,5.0
17403,4.0
17404,5.0
17405,5.0
17406,5.0
17407,5.0
17408,5.0
17409,6.0
17410,3.0
17411,5.0
17412,5.0
17413,6.0
17414,6.0
17415,5.0
17416,5.0
17417,7.0
17418,6.0
17419,8.0
17420,4.0
17421,7.0
17422,5.0
17423,2.0
17424,5.0
17425,5.0
17426,2.0
17427,3.0
17428,2.0
17429,4.0
17430,5.0
17431,5.0
17432,6.0
17433,3.0
17434,5.0
17435,5.0
17436,3.0
17437,3.0
17438,5.0
17439,4.0
17440,4.0
17441,3.0
17442,4.0
17443,3.0
17444,5.0
17445,4.0
17446,3.0
17447,5.0
17448,4.0
17449,5.0
17450,6.0
17451,5.0
17452,5.0
17453,5.0
17454,6.0
17455,6.0
17456,5.0
17457,5.0
17458,8.0
17459,5.0
17460,4.0
17461,5.0
17462,4.0
17463,3.0
17464,4.0
17465,4.0
17466,5.0
17467,3.0
17468,6.0
17469,4.0
17470,2.0
17471,6.0
17472,4.0
17473,5.0
17474,4.0
17475,3.0
17476,5.0
17477,4.0
17478,6.0
17479,5.0
17480,4.0
17481,5.0
17482,4.0
17483,4.0
17484,4.0
17485,5.0
17486,6.0
17487,5.0
17488,5.0
17489,5.0
17490,5.0
17491,5.0
17492,6.0
17493,5.0
17494,4.0
17495,4.0
17496,7.0
17497,5.0
17498,5.0
17499,6.0
17500,4.0
17501,4.0
17502,4.0
17503,4.0
17504,3.0
17505,3.0
17506,3.0
17507,5.0
17508,5.0
17509,4.0
17510,6.0
17511,3.0
17512,5.0
17513,5.0
17514,4.0
17515,4.0
17516,6.0
17517,3.0
17518,6.0
17519,4.0
17520,4.0
17521,6.0
17522,7.0
17523,8.0
17524,4.0
17525,7.0
17526,8.0
17527,6.0
17528,4.0
17529,5.0
17530,5.0
17531,5.0
17532,5.0
17533,5.0
17534,5.0
17535,4.0
17536,5.0
17537,5.0
17538,3.0
17539,5.0
17540,5.0
17541,6.0
17542,4.0
17543,4.0
17544,4.0
17545,7.0
17546,3.0
17547,5.0
17548,5.0
17549,3.0
17550,5.0
17551,6.0
17552,6.0
17553,5.0
17554,6.0
17555,5.0
17556,4.0
17557,5.0
17558,6.0
17559,6.0
17560,5.0
17561,6.0
17562,6.0
17563,2.0
17564,5.0
17565,6.0
17566,5.0
17567,4.0
17568,4.0
17569,3.0
17570,4.0
17571,5.0
17572,5.0
17573,3.0
17574,3.0
17575,5.0
17576,3.0
17577,5.0
17578,3.0
17579,5.0
17580,7.0
17581,5.0
17582,5.0
17583,5.0
17584,6.0
17585,5.0
17586,5.0
17587,4.0
17588,4.0
17589,6.0
17590,6.0
17591,5.0
17592,7.0
17593,5.0
17594,5.0
17595,5.0
17596,4.0
17597,3.0
17598,5.0
17599,5.0
17600,5.0
17601,5.0
17602,5.0
17603,4.0
17604,4.0
17605,2.0
17606,3.0
17607,5.0
17608,7.0
17609,8.0
17610,3.0
17611,4.0
17612,6.0
17613,8.0
17614,3.0
17615,3.0
17616,5.0
17617,5.0
17618,3.0
