id,Danceability
17170,3.0
17171,6.0
17172,4.0
17173,7.0
17174,3.0
17175,5.0
17176,5.0
17177,1.0
17178,4.0
17179,1.0
17180,9.0
17181,6.0
17182,5.0
17183,5.0
17184,6.0
17185,5.0
17186,6.0
17187,1.0
17188,5.0
17189,5.0
17190,8.0
17191,8.0
17192,9.0
17193,9.0
17194,1.0
17195,9.0
17196,8.0
17197,9.0
17198,9.0
17199,6.0
17200,4.0
17201,2.0
17202,1.0
17203,3.0
17204,7.0
17205,4.0
17206,4.0
17207,1.0
17208,1.0
17209,3.0
17210,8.0
17211,3.0
17212,1.0
17213,7.0
17214,9.0
17215,9.0
17216,7.0
17217,5.0
17218,9.0
17219,7.0
17220,7.0
17221,0.0
17222,4.0
17223,8.0
17224,5.0
17225,2.0
17226,5.0
17227,4.0
17228,1.0
17229,2.0
17230,2.0
17231,2.0
17232,3.0
17233,4.0
17234,0.0
17235,6.0
17236,2.0
17237,0.0
17238,0.0
17239,3.0
17240,0.0
17241,1.0
17242,0.0
17243,2.0
17244,1.0
17245,3.0
17246,6.0
17247,9.0
17248,2.0
17249,9.0
17250,0.0
17251,1.0
17252,7.0
17253,4.0
17254,8.0
17255,9.0
17256,9.0
17257,8.0
17258,3.0
17259,7.0
17260,7.0
17261,7.0
17262,6.0
17263,8.0
17264,7.0
17265,6.0
17266,2.0
17267,6.0
17268,8.0
17269,6.0
17270,6.0
17271,9.0
17272,6.0
17273,6.0
17274,8.0
17275,7.0
17276,9.0
17277,3.0
17278,5.0
17279,4.0
17280,1.0
17281,6.0
17282,1.0
17283,7.0
17284,8.0
17285,7.0
17286,2.0
17287,2.0
17288,9.0
17289,7.0
17290,3.0
17291,6.0
17292,8.0
17293,8.0
17294,9.0
17295,7.0
17296,7.0
17297,3.0
17298,8.0
17299,9.0
17300,9.0
17301,9.0
17302,9.0
17303,0.0
17304,8.0
17305,7.0
17306,7.0
17307,7.0
17308,1.0
17309,9.0
17310,8.0
17311,6.0
17312,7.0
17313,8.0
17314,8.0
17315,8.0
17316,7.0
17317,0.0
17318,2.0
17319,5.0
17320,9.0
17321,6.0
17322,5.0
17323,5.0
17324,2.0
17325,5.0
17326,3.0
17327,5.0
17328,2.0
17329,7.0
17330,4.0
17331,6.0
17332,4.0
17333,6.0
17334,7.0
17335,5.0
17336,8.0
17337,6.0
17338,8.0
17339,7.0
17340,8.0
17341,3.0
17342,6.0
17343,4.0
17344,0.0
17345,0.0
17346,5.0
17347,2.0
17348,6.0
17349,2.0
17350,6.0
17351,2.0
17352,7.0
17353,7.0
17354,5.0
17355,9.0
17356,9.0
17357,7.0
17358,8.0
17359,9.0
17360,7.0
17361,9.0
17362,8.0
17363,5.0
17364,9.0
17365,8.0
17366,7.0
17367,9.0
17368,7.0
17369,9.0
17370,9.0
17371,9.0
17372,5.0
17373,4.0
17374,7.0
17375,8.0
17376,7.0
17377,0.0
17378,2.0
17379,8.0
17380,3.0
17381,5.0
17382,5.0
17383,5.0
17384,9.0
17385,5.0
17386,9.0
17387,6.0
17388,9.0
17389,8.0
17390,7.0
17391,3.0
17392,9.0
17393,8.0
17394,8.0
17395,6.0
17396,9.0
17397,6.0
17398,6.0
17399,6.0
17400,7.0
17401,0.0
17402,6.0
17403,1.0
17404,7.0
17405,8.0
17406,0.0
17407,3.0
17408,5.0
17409,8.0
17410,2.0
17411,7.0
17412,3.0
17413,8.0
17414,8.0
17415,7.0
17416,6.0
17417,8.0
17418,7.0
17419,7.0
17420,3.0
17421,9.0
17422,2.0
17423,1.0
17424,8.0
17425,8.0
17426,4.0
17427,4.0
17428,0.0
17429,5.0
17430,6.0
17431,5.0
17432,5.0
17433,4.0
17434,8.0
17435,4.0
17436,4.0
17437,0.0
17438,8.0
17439,1.0
17440,0.0
17441,4.0
17442,1.0
17443,2.0
17444,5.0
17445,5.0
17446,4.0
17447,6.0
17448,0.0
17449,6.0
17450,7.0
17451,7.0
17452,5.0
17453,9.0
17454,9.0
17455,3.0
17456,8.0
17457,8.0
17458,7.0
17459,8.0
17460,2.0
17461,5.0
17462,3.0
17463,0.0
17464,4.0
17465,0.0
17466,2.0
17467,2.0
17468,6.0
17469,7.0
17470,2.0
17471,5.0
17472,0.0
17473,2.0
17474,0.0
17475,1.0
17476,9.0
17477,7.0
17478,9.0
17479,3.0
17480,7.0
17481,5.0
17482,1.0
17483,6.0
17484,2.0
17485,9.0
17486,9.0
17487,1.0
17488,9.0
17489,3.0
17490,9.0
17491,7.0
17492,7.0
17493,9.0
17494,6.0
17495,0.0
17496,9.0
17497,8.0
17498,9.0
17499,8.0
17500,3.0
17501,5.0
17502,6.0
17503,2.0
17504,2.0
17505,2.0
17506,1.0
17507,3.0
17508,6.0
17509,7.0
17510,8.0
17511,2.0
17512,6.0
17513,5.0
17514,2.0
17515,9.0
17516,4.0
17517,2.0
17518,8.0
17519,6.0
17520,2.0
17521,8.0
17522,8.0
17523,8.0
17524,0.0
17525,4.0
17526,8.0
17527,8.0
17528,6.0
17529,7.0
17530,5.0
17531,5.0
17532,3.0
17533,3.0
17534,7.0
17535,6.0
17536,3.0
17537,9.0
17538,1.0
17539,7.0
17540,8.0
17541,7.0
17542,2.0
17543,9.0
17544,4.0
17545,8.0
17546,6.0
17547,6.0
17548,7.0
17549,2.0
17550,6.0
17551,8.0
17552,6.0
17553,4.0
17554,7.0
17555,7.0
17556,5.0
17557,8.0
17558,9.0
17559,8.0
17560,8.0
17561,7.0
17562,3.0
17563,3.0
17564,3.0
17565,3.0
17566,7.0
17567,0.0
17568,6.0
17569,0.0
17570,5.0
17571,8.0
17572,6.0
17573,1.0
17574,0.0
17575,2.0
17576,2.0
17577,5.0
17578,9.0
17579,9.0
17580,7.0
17581,9.0
17582,7.0
17583,6.0
17584,6.0
17585,6.0
17586,9.0
17587,6.0
17588,4.0
17589,9.0
17590,9.0
17591,9.0
17592,8.0
17593,0.0
17594,6.0
17595,9.0
17596,2.0
17597,6.0
17598,6.0
17599,8.0
17600,5.0
17601,8.0
17602,9.0
17603,1.0
17604,3.0
17605,0.0
17606,1.0
17607,7.0
17608,9.0
17609,8.0
17610,0.0
17611,4.0
17612,2.0
17613,9.0
17614,0.0
17615,0.0
17616,3.0
17617,6.0
17618,0.0
17619,3.0
17620,7.0
17621,3.0
17622,6.0
17623,6.0
17624,1.0
17625,4.0
17626,8.0
17627,1.0
17628,3.0
17629,1.0
17630,9.0
17631,0.0
17632,7.0
17633,0.0
17634,5.0
17635,1.0
17636,7.0
17637,0.0
17638,7.0
17639,6.0
17640,4.0
17641,2.0
17642,3.0
17643,3.0
17644,4.0
17645,2.0
17646,2.0
17647,0.0
17648,6.0
17649,2.0
17650,6.0
17651,2.0
17652,3.0
17653,6.0
17654,0.0
17655,0.0
17656,2.0
17657,1.0
17658,0.0
17659,0.0
17660,0.0
17661,0.0
17662,0.0
17663,0.0
17664,0.0
17665,0.0
17666,0.0
17667,4.0
17668,5.0
17669,2.0
17670,1.0
17671,0.0
17672,3.0
17673,1.0
17674,0.0
17675,2.0
17676,7.0
17677,0.0
17678,1.0
17679,1.0
17680,2.0
17681,6.0
17682,7.0
17683,3.0
17684,4.0
17685,2.0
17686,1.0
17687,0.0
17688,0.0
17689,0.0
17690,1.0
17691,6.0
17692,0.0
17693,0.0
17694,3.0
17695,5.0
17696,0.0
17697,1.0
17698,0.0
17699,1.0
17700,2.0
17701,8.0
17702,4.0
17703,4.0
17704,6.0
17705,3.0
17706,4.0
17707,4.0
17708,9.0
17709,3.0
17710,1.0
17711,0.0
17712,5.0
17713,0.0
17714,0.0
17715,0.0
17716,0.0
17717,0.0
17718,1.0
17719,0.0
17720,0.0
17721,0.0
17722,0.0
17723,0.0
17724,1.0
17725,2.0
17726,0.0
17727,0.0
17728,2.0
17729,0.0
17730,1.0
17731,2.0
17732,3.0
17733,0.0
17734,7.0
17735,6.0
17736,5.0
17737,2.0
17738,3.0
17739,0.0
17740,2.0
17741,1.0
17742,9.0
17743,6.0
17744,0.0
17745,0.0
17746,0.0
17747,7.0
17748,1.0
17749,0.0
17750,4.0
17751,1.0
17752,2.0
17753,5.0
17754,6.0
17755,7.0
17756,6.0
17757,6.0
17758,8.0
17759,2.0
17760,0.0
17761,2.0
17762,2.0
17763,3.0
17764,0.0
17765,8.0
17766,8.0
17767,7.0
17768,7.0
17769,1.0
17770,0.0
17771,7.0
17772,8.0
17773,9.0
17774,9.0
17775,6.0
17776,8.0
17777,2.0
17778,6.0
17779,8.0
17780,8.0
17781,1.0
17782,1.0
17783,8.0
17784,5.0
17785,3.0
17786,6.0
17787,0.0
17788,2.0
17789,2.0
17790,0.0
17791,5.0
17792,5.0
17793,4.0
17794,3.0
17795,9.0
17796,6.0
17797,9.0
17798,9.0
17799,1.0
17800,8.0
17801,0.0
17802,7.0
17803,8.0
17804,9.0
17805,3.0
17806,6.0
17807,6.0
17808,0.0
17809,9.0
17810,5.0
17811,3.0
17812,6.0
17813,8.0
17814,4.0
17815,6.0
17816,7.0
17817,5.0
17818,6.0
17819,8.0
17820,8.0
17821,1.0
17822,2.0
17823,8.0
17824,3.0
17825,9.0
17826,6.0
17827,8.0
17828,6.0
17829,7.0
17830,2.0
17831,9.0
17832,7.0
17833,0.0
17834,2.0
17835,5.0
17836,1.0
17837,0.0
17838,4.0
17839,1.0
17840,1.0
17841,8.0
17842,2.0
17843,8.0
17844,4.0
17845,9.0
17846,9.0
17847,9.0
17848,9.0
17849,9.0
17850,9.0
17851,8.0
17852,2.0
17853,9.0
17854,9.0
17855,3.0
17856,7.0
17857,6.0
17858,7.0
17859,9.0
17860,0.0
17861,6.0
17862,1.0
17863,5.0
17864,6.0
17865,9.0
17866,9.0
17867,2.0
17868,3.0
17869,5.0
17870,6.0
17871,0.0
17872,6.0
17873,6.0
17874,6.0
17875,0.0
17876,6.0
17877,2.0
17878,6.0
17879,2.0
17880,2.0
17881,0.0
17882,1.0
17883,2.0
17884,7.0
17885,0.0
17886,1.0
17887,3.0
17888,6.0
17889,8.0
17890,9.0
17891,1.0
17892,4.0
17893,0.0
17894,1.0
17895,7.0
17896,9.0
17897,6.0
17898,9.0
17899,1.0
17900,6.0
17901,8.0
17902,8.0
17903,5.0
17904,2.0
17905,8.0
17906,7.0
17907,8.0
17908,5.0
17909,6.0
17910,5.0
17911,3.0
17912,2.0
17913,5.0
17914,0.0
17915,7.0
17916,0.0
17917,6.0
17918,3.0
17919,1.0
17920,4.0
17921,0.0
17922,1.0
17923,4.0
17924,9.0
17925,3.0
17926,5.0
17927,3.0
17928,0.0
17929,1.0
17930,3.0
17931,0.0
17932,6.0
17933,6.0
17934,8.0
17935,8.0
17936,6.0
17937,4.0
17938,4.0
17939,1.0
17940,0.0
17941,8.0
17942,9.0
17943,4.0
17944,2.0
17945,6.0
17946,8.0
17947,7.0
17948,3.0
17949,6.0
17950,2.0
17951,2.0
17952,8.0
17953,1.0
17954,7.0
17955,7.0
17956,5.0
17957,6.0
17958,6.0
17959,5.0
17960,1.0
17961,5.0
17962,3.0
17963,8.0
17964,8.0
17965,9.0
17966,6.0
17967,6.0
17968,9.0
17969,7.0
17970,9.0
17971,7.0
17972,9.0
17973,9.0
17974,6.0
17975,7.0
17976,8.0
17977,8.0
17978,5.0
17979,7.0
17980,8.0
17981,7.0
17982,2.0
17983,8.0
17984,9.0
17985,9.0
17986,8.0
17987,9.0
17988,6.0
17989,8.0
17990,8.0
17991,9.0
17992,2.0
17993,9.0
17994,3.0
17995,4.0
17996,6.0
17997,6.0
17998,9.0
17999,6.0
18000,9.0
18001,9.0
18002,6.0
18003,3.0
18004,4.0
18005,2.0
18006,3.0
18007,5.0
18008,9.0
18009,1.0
18010,4.0
18011,8.0
18012,0.0
18013,3.0
18014,2.0
18015,6.0
18016,1.0
18017,6.0
18018,4.0
18019,9.0
18020,9.0
18021,0.0
18022,6.0
18023,6.0
18024,6.0
18025,9.0
18026,5.0
18027,6.0
18028,7.0
18029,0.0
18030,0.0
18031,0.0
18032,0.0
18033,0.0
18034,0.0
18035,0.0
18036,0.0
18037,0.0
18038,7.0
18039,7.0
18040,1.0
18041,8.0
18042,2.0
18043,2.0
18044,5.0
18045,8.0
18046,1.0
18047,6.0
18048,6.0
18049,1.0
18050,3.0
18051,9.0
18052,1.0
18053,8.0
18054,1.0
18055,8.0
18056,1.0
18057,6.0
18058,8.0
18059,1.0
18060,7.0
18061,2.0
18062,3.0
18063,4.0
18064,3.0
18065,8.0
18066,8.0
18067,8.0
18068,9.0
18069,4.0
18070,6.0
18071,3.0
18072,3.0
18073,7.0
18074,8.0
18075,6.0
18076,4.0
18077,9.0
18078,6.0
18079,0.0
18080,1.0
18081,8.0
18082,7.0
18083,6.0
18084,8.0
18085,6.0
18086,9.0
18087,4.0
18088,5.0
18089,4.0
18090,5.0
18091,0.0
18092,2.0
18093,0.0
18094,2.0
18095,4.0
18096,1.0
18097,1.0
18098,5.0
18099,2.0
18100,0.0
18101,5.0
18102,5.0
18103,5.0
18104,7.0
18105,4.0
18106,6.0
18107,5.0
18108,1.0
18109,2.0
18110,6.0
18111,2.0
18112,5.0
18113,4.0
18114,3.0
18115,0.0
18116,7.0
18117,6.0
18118,0.0
18119,4.0
18120,5.0
18121,6.0
18122,4.0
18123,1.0
18124,8.0
18125,8.0
18126,0.0
18127,8.0
18128,4.0
18129,2.0
18130,6.0
18131,5.0
18132,6.0
18133,2.0
18134,2.0
18135,1.0
18136,7.0
18137,9.0
18138,1.0
18139,6.0
18140,2.0
18141,2.0
18142,2.0
18143,4.0
18144,4.0
18145,7.0
18146,3.0
18147,4.0
18148,2.0
18149,2.0
18150,9.0
18151,6.0
18152,9.0
18153,6.0
18154,9.0
18155,6.0
18156,9.0
18157,9.0
18158,1.0
18159,4.0
18160,8.0
18161,4.0
18162,8.0
18163,8.0
18164,1.0
18165,8.0
18166,2.0
18167,4.0
18168,5.0
18169,9.0
18170,7.0
18171,7.0
18172,9.0
18173,4.0
18174,9.0
18175,7.0
18176,7.0
18177,5.0
18178,2.0
18179,1.0
18180,7.0
18181,8.0
18182,8.0
