id,Danceability
17170,5
17171,6
17172,5
17173,4
17174,4
17175,7
17176,3
17177,4
17178,5
17179,4
17180,5
17181,4
17182,6
17183,5
17184,4
17185,5
17186,6
17187,3
17188,6
17189,3
17190,8
17191,6
17192,7
17193,9
17194,6
17195,7
17196,7
17197,6
17198,6
17199,5
17200,4
17201,3
17202,3
17203,2
17204,4
17205,4
17206,4
17207,3
17208,2
17209,2
17210,4
17211,4
17212,2
17213,6
17214,5
17215,4
17216,6
17217,7
17218,6
17219,4
17220,5
17221,2
17222,4
17223,4
17224,3
17225,3
17226,6
17227,5
17228,5
17229,4
17230,5
17231,3
17232,5
17233,2
17234,2
17235,5
17236,4
17237,2
17238,2
17239,5
17240,3
17241,3
17242,2
17243,4
17244,3
17245,4
17246,4
17247,5
17248,3
17249,5
17250,4
17251,4
17252,5
17253,4
17254,4
17255,5
17256,4
17257,5
17258,6
17259,5
17260,4
17261,4
17262,5
17263,6
17264,4
17265,6
17266,5
17267,4
17268,7
17269,6
17270,6
17271,5
17272,5
17273,4
17274,6
17275,5
17276,5
17277,4
17278,3
17279,3
17280,3
17281,4
17282,4
17283,6
17284,5
17285,6
17286,4
17287,2
17288,6
17289,6
17290,7
17291,4
17292,6
17293,5
17294,7
17295,4
17296,4
17297,4
17298,4
17299,4
17300,7
17301,5
17302,6
17303,2
17304,5
17305,3
17306,3
17307,4
17308,2
17309,6
17310,5
17311,5
17312,3
17313,4
17314,6
17315,6
17316,5
17317,6
17318,4
17319,4
17320,7
17321,4
17322,4
17323,3
17324,3
17325,5
17326,4
17327,5
17328,4
17329,4
17330,5
17331,3
17332,4
17333,4
17334,4
17335,5
17336,7
17337,7
17338,7
17339,6
17340,5
17341,7
17342,4
17343,4
17344,2
17345,3
17346,6
17347,4
17348,5
17349,4
17350,6
17351,4
17352,5
17353,6
17354,6
17355,5
17356,4
17357,6
17358,4
17359,7
17360,4
17361,5
17362,5
17363,4
17364,5
17365,6
17366,5
17367,6
17368,6
17369,7
17370,7
17371,5
17372,4
17373,5
17374,6
17375,5
17376,6
17377,3
17378,3
17379,7
17380,6
17381,7
17382,6
17383,7
17384,7
17385,4
17386,4
17387,6
17388,7
17389,6
17390,7
17391,6
17392,6
17393,5
17394,5
17395,5
17396,7
17397,3
17398,5
17399,4
17400,6
17401,5
17402,7
17403,7
17404,4
17405,6
17406,3
17407,4
17408,7
17409,4
17410,4
17411,5
17412,2
17413,6
17414,5
17415,4
17416,4
17417,4
17418,5
17419,6
17420,4
17421,6
17422,4
17423,3
17424,6
17425,6
17426,5
17427,6
17428,3
17429,5
17430,4
17431,5
17432,6
17433,4
17434,6
17435,5
17436,5
17437,4
17438,6
17439,6
17440,3
17441,6
17442,3
17443,4
17444,5
17445,3
17446,5
17447,5
17448,3
17449,6
17450,4
17451,5
17452,5
17453,6
17454,6
17455,5
17456,4
17457,4
17458,4
17459,6
17460,4
17461,5
17462,3
17463,3
17464,5
17465,2
17466,4
17467,3
17468,5
17469,6
17470,7
17471,6
17472,6
17473,5
17474,5
17475,4
17476,6
17477,5
17478,6
17479,3
17480,5
17481,4
17482,7
17483,4
17484,3
17485,6
17486,4
17487,3
17488,4
17489,3
17490,6
17491,5
17492,7
17493,4
17494,5
17495,1
17496,5
17497,7
17498,7
17499,4
17500,4
17501,4
17502,5
17503,5
17504,3
17505,3
17506,3
17507,4
17508,4
17509,6
17510,6
17511,4
17512,6
17513,5
17514,5
17515,6
17516,5
17517,3
17518,6
17519,5
17520,5
17521,6
17522,5
17523,5
17524,6
17525,5
17526,5
17527,6
17528,5
17529,4
17530,4
17531,4
17532,5
17533,1
17534,5
17535,6
17536,3
17537,7
17538,5
17539,5
17540,6
17541,6
17542,2
17543,7
17544,6
17545,7
17546,6
17547,4
17548,4
17549,4
17550,7
17551,7
17552,5
17553,3
17554,6
17555,5
17556,4
17557,4
17558,3
17559,8
17560,6
17561,5
17562,4
17563,4
17564,4
17565,7
17566,6
17567,3
17568,4
17569,4
17570,3
17571,7
17572,6
17573,4
17574,2
17575,6
17576,4
17577,3
17578,6
17579,5
17580,5
17581,6
17582,4
17583,4
17584,4
17585,4
17586,6
17587,4
17588,5
17589,3
17590,6
17591,7
17592,4
17593,2
17594,6
17595,5
17596,4
17597,4
17598,5
17599,6
17600,5
17601,5
17602,7
17603,2
17604,4
17605,2
17606,2
17607,5
17608,4
17609,5
17610,3
17611,6
17612,4
17613,5
17614,2
17615,5
17616,4
17617,4
17618,3
17619,3
17620,4
17621,3
17622,5
17623,4
17624,3
17625,4
17626,6
17627,5
17628,3
17629,6
17630,5
17631,3
17632,6
17633,2
17634,3
17635,3
17636,4
17637,3
17638,3
17639,4
17640,3
17641,3
17642,6
17643,6
17644,5
17645,1
17646,2
17647,4
17648,6
17649,5
17650,5
17651,2
17652,3
17653,6
17654,3
17655,5
17656,4
17657,2
17658,2
17659,2
17660,4
17661,3
17662,5
17663,3
17664,3
17665,2
17666,1
17667,6
17668,4
17669,3
17670,4
17671,3
17672,4
17673,2
17674,4
17675,3
17676,5
17677,3
17678,3
17679,2
17680,4
17681,6
17682,6
17683,4
17684,4
17685,5
17686,4
17687,3
17688,4
17689,3
17690,5
17691,4
17692,3
17693,3
17694,3
17695,5
17696,2
17697,3
17698,1
17699,2
17700,3
17701,5
17702,4
17703,4
17704,4
17705,7
17706,4
17707,4
17708,6
17709,4
17710,3
17711,2
17712,6
17713,5
17714,2
17715,3
17716,2
17717,2
17718,4
17719,4
17720,2
17721,2
17722,3
17723,3
17724,4
17725,3
17726,3
17727,2
17728,5
17729,5
17730,5
17731,3
17732,5
17733,4
17734,4
17735,6
17736,5
17737,3
17738,6
17739,4
17740,5
17741,2
17742,6
17743,6
17744,5
17745,5
17746,4
17747,4
17748,4
17749,3
17750,5
17751,6
17752,4
17753,5
17754,5
17755,4
17756,6
17757,4
17758,5
17759,2
17760,2
17761,4
17762,3
17763,6
17764,2
17765,6
17766,3
17767,5
17768,7
17769,6
17770,4
17771,7
17772,6
17773,6
17774,4
17775,4
17776,5
17777,5
17778,4
17779,6
17780,6
17781,5
17782,4
17783,6
17784,5
17785,2
17786,5
17787,3
17788,4
17789,6
17790,3
17791,6
17792,4
17793,5
17794,3
17795,7
17796,6
17797,6
17798,5
17799,7
17800,5
17801,3
17802,4
17803,5
17804,7
17805,5
17806,6
17807,5
17808,2
17809,7
17810,5
17811,4
17812,5
17813,6
17814,5
17815,6
17816,4
17817,4
17818,5
