id,Danceability
17170,3
17171,5
17172,3
17173,3
17174,3
17175,5
17176,2
17177,1
17178,3
17179,3
17180,4
17181,6
17182,5
17183,5
17184,3
17185,4
17186,4
17187,1
17188,4
17189,5
17190,5
17191,4
17192,6
17193,7
17194,3
17195,8
17196,7
17197,5
17198,8
17199,3
17200,2
17201,2
17202,0
17203,1
17204,3
17205,3
17206,4
17207,0
17208,1
17209,1
17210,4
17211,5
17212,0
17213,7
17214,5
17215,5
17216,6
17217,6
17218,5
17219,7
17220,5
17221,2
17222,4
17223,4
17224,3
17225,0
17226,3
17227,2
17228,2
17229,1
17230,0
17231,3
17232,3
17233,2
17234,2
17235,3
17236,3
17237,1
17238,0
17239,3
17240,1
17241,1
17242,0
17243,4
17244,0
17245,4
17246,3
17247,5
17248,2
17249,4
17250,0
17251,2
17252,4
17253,2
17254,2
17255,6
17256,4
17257,5
17258,2
17259,2
17260,3
17261,3
17262,5
17263,9
17264,4
17265,5
17266,3
17267,4
17268,7
17269,4
17270,7
17271,7
17272,4
17273,7
17274,6
17275,4
17276,5
17277,2
17278,5
17279,3
17280,3
17281,4
17282,1
17283,7
17284,6
17285,6
17286,2
17287,3
17288,6
17289,5
17290,4
17291,4
17292,6
17293,3
17294,6
17295,6
17296,5
17297,2
17298,4
17299,7
17300,5
17301,6
17302,6
17303,1
17304,5
17305,2
17306,3
17307,5
17308,2
17309,6
17310,6
17311,5
17312,2
17313,3
17314,4
17315,5
17316,4
17317,5
17318,3
17319,4
17320,7
17321,6
17322,3
17323,3
17324,2
17325,3
17326,4
17327,3
17328,0
17329,4
17330,2
17331,5
17332,5
17333,2
17334,2
17335,2
17336,6
17337,3
17338,6
17339,4
17340,6
17341,6
17342,2
17343,0
17344,2
17345,2
17346,4
17347,3
17348,3
17349,2
17350,4
17351,2
17352,5
17353,4
17354,4
17355,4
17356,6
17357,5
17358,4
17359,6
17360,5
17361,5
17362,6
17363,6
17364,6
17365,5
17366,3
17367,7
17368,6
17369,6
17370,8
17371,5
17372,3
17373,4
17374,5
17375,4
17376,4
17377,0
17378,2
17379,6
17380,4
17381,6
17382,6
17383,7
17384,9
17385,4
17386,5
17387,3
17388,7
17389,5
17390,6
17391,4
17392,7
17393,5
17394,4
17395,3
17396,8
17397,5
17398,3
17399,3
17400,3
17401,2
17402,4
17403,2
17404,5
17405,4
17406,3
17407,3
17408,4
17409,3
17410,2
17411,5
17412,2
17413,7
17414,4
17415,3
17416,5
17417,6
17418,5
17419,7
17420,4
17421,8
17422,3
17423,0
17424,7
17425,6
17426,3
17427,4
17428,2
17429,3
17430,4
17431,4
17432,5
17433,2
17434,6
17435,3
17436,2
17437,2
17438,6
17439,2
17440,1
17441,4
17442,3
17443,3
17444,3
17445,3
17446,3
17447,5
17448,1
17449,5
17450,3
17451,4
17452,4
17453,5
17454,6
17455,2
17456,3
17457,3
17458,5
17459,6
17460,1
17461,4
17462,2
17463,1
17464,3
17465,1
17466,2
17467,2
17468,4
17469,4
17470,2
17471,5
17472,4
17473,4
17474,3
17475,2
17476,5
17477,3
17478,6
17479,4
17480,3
17481,3
17482,5
17483,5
17484,5
17485,4
17486,7
17487,1
17488,4
17489,3
17490,5
17491,4
17492,5
17493,5
17494,6
17495,3
17496,6
17497,7
17498,7
17499,5
17500,2
17501,2
17502,3
17503,2
17504,1
17505,1
17506,3
17507,1
17508,2
17509,5
17510,6
17511,4
17512,5
17513,4
17514,3
17515,5
17516,2
17517,2
17518,5
17519,3
17520,3
17521,6
17522,7
17523,5
17524,4
17525,5
17526,6
17527,5
17528,3
17529,4
17530,3
17531,3
17532,4
17533,3
17534,4
17535,5
17536,3
17537,6
17538,2
17539,3
17540,6
17541,5
17542,1
17543,4
17544,4
17545,7
17546,3
17547,5
17548,4
17549,2
17550,6
17551,7
17552,4
17553,3
17554,6
17555,4
17556,3
17557,3
17558,4
17559,6
17560,6
17561,4
17562,3
17563,1
17564,4
17565,5
17566,6
17567,2
17568,4
17569,0
17570,2
17571,7
17572,3
17573,2
17574,2
17575,4
17576,2
17577,3
17578,5
17579,5
17580,6
17581,5
17582,3
17583,3
17584,3
17585,4
17586,5
17587,4
17588,3
17589,4
17590,7
17591,5
17592,5
17593,3
17594,4
17595,5
17596,3
17597,2
17598,4
17599,6
17600,3
17601,5
17602,6
17603,2
17604,3
17605,0
17606,0
17607,3
17608,7
17609,7
17610,1
17611,4
17612,3
17613,7
17614,0
17615,3
17616,4
17617,4
17618,0
17619,3
17620,4
17621,1
17622,4
17623,3
17624,2
17625,4
17626,6
17627,2
17628,1
17629,3
17630,6
17631,1
17632,5
17633,0
17634,4
17635,2
17636,4
17637,0
17638,1
17639,2
17640,3
17641,3
17642,5
17643,3
17644,4
17645,1
17646,3
17647,1
17648,5
17649,1
17650,3
17651,3
17652,1
17653,5
17654,0
17655,1
17656,4
17657,1
17658,0
17659,0
17660,1
17661,0
17662,2
17663,0
17664,0
17665,0
17666,0
17667,5
17668,3
17669,1
17670,2
17671,0
17672,2
17673,3
17674,0
17675,1
17676,5
17677,2
17678,1
17679,1
17680,2
17681,6
17682,4
17683,4
17684,2
17685,5
17686,2
17687,1
17688,1
17689,3
17690,3
17691,3
17692,1
17693,1
17694,2
17695,4
17696,1
17697,0
17698,0
17699,2
17700,2
17701,5
17702,3
17703,3
17704,3
17705,5
17706,4
17707,2
17708,7
17709,4
17710,3
17711,0
17712,6
17713,4
17714,1
17715,1
17716,2
17717,0
17718,3
17719,2
17720,2
17721,1
17722,0
17723,1
17724,2
17725,4
17726,3
17727,0
17728,3
17729,1
17730,4
17731,2
17732,2
17733,1
17734,4
17735,4
17736,3
17737,0
17738,4
17739,1
17740,1
17741,1
17742,7
17743,5
17744,3
17745,3
17746,3
17747,3
17748,1
17749,1
17750,5
17751,2
17752,3
17753,4
17754,5
17755,4
17756,4
17757,3
17758,5
17759,2
17760,0
17761,2
17762,3
17763,4
17764,0
17765,6
17766,4
17767,6
17768,5
17769,1
17770,3
17771,5
17772,5
17773,7
17774,6
17775,6
17776,3
17777,2
17778,4
17779,8
17780,5
17781,3
17782,1
17783,7
17784,5
17785,4
17786,5
17787,0
17788,1
17789,4
17790,2
17791,4
17792,2
17793,3
17794,3
17795,8
17796,6
17797,8
17798,6
17799,3
17800,6
17801,2
17802,9
17803,5
17804,6
17805,3
17806,4
17807,2
17808,0
17809,8
17810,4
17811,2
17812,5
17813,5
17814,4
17815,3
17816,5
17817,2
17818,5
17819,6
17820,5
17821,3
17822,3
17823,5
17824,3
17825,7
17826,5
17827,6
17828,4
17829,6
17830,3
17831,5
17832,6
17833,1
17834,3
17835,5
17836,1
17837,0
17838,4
17839,2
17840,2
17841,6
17842,3
17843,5
17844,4
17845,6
17846,4
17847,6
17848,7
17849,7
17850,7
17851,6
17852,2
17853,6
17854,6
17855,3
17856,4
17857,5
17858,4
17859,7
17860,7
17861,5
17862,1
17863,3
17864,4
17865,5
17866,7
17867,2
17868,3
17869,5
17870,6
17871,1
17872,6
17873,4
17874,3
17875,1
17876,2
17877,4
17878,5
17879,2
17880,2
17881,1
17882,3
17883,3
17884,6
17885,2
17886,2
17887,3
17888,4
17889,6
17890,4
17891,4
17892,2
17893,1
17894,3
17895,6
17896,8
17897,3
17898,8
17899,2
17900,5
17901,6
17902,6
17903,5
17904,3
17905,8
17906,4
17907,6
17908,3
17909,5
17910,5
17911,3
17912,3
17913,4
17914,0
17915,5
17916,2
17917,5
17918,4
17919,1
17920,3
17921,0
17922,1
17923,5
17924,4
17925,1
17926,1
17927,3
17928,1
17929,2
17930,3
17931,1
17932,5
17933,5
17934,6
17935,4
17936,5
17937,6
17938,4
17939,2
17940,2
17941,7
17942,7
17943,4
17944,1
17945,4
17946,3
17947,3
17948,3
17949,2
17950,1
17951,2
17952,6
17953,0
17954,5
17955,6
17956,6
17957,5
17958,7
17959,6
17960,1
17961,4
17962,2
17963,7
17964,6
17965,6
17966,6
17967,2
17968,6
17969,6
17970,7
17971,3
17972,3
17973,7
17974,4
17975,5
17976,5
17977,6
17978,4
17979,4
17980,3
17981,3
17982,1
17983,5
17984,5
17985,6
17986,6
17987,6
17988,6
17989,5
17990,6
17991,6
17992,3
17993,8
17994,1
17995,2
17996,6
17997,4
17998,6
17999,5
18000,4
18001,7
18002,3
18003,3
18004,4
18005,0
18006,3
18007,3
18008,6
18009,3
18010,2
18011,5
18012,1
18013,5
18014,2
18015,4
18016,1
18017,5
18018,2
18019,6
18020,6
18021,2
18022,5
18023,3
18024,4
18025,6
18026,4
18027,3
18028,4
18029,1
18030,0
18031,1
18032,0
18033,0
18034,1
18035,0
18036,1
18037,0
18038,5
18039,5
18040,3
18041,6
18042,4
18043,3
18044,2
18045,3
18046,3
18047,4
18048,4
18049,2
18050,4
18051,5
18052,2
18053,6
18054,2
18055,5
18056,5
18057,4
18058,5
18059,1
18060,4
18061,3
18062,5
18063,5
18064,1
18065,5
18066,8
18067,5
18068,7
18069,2
18070,5
18071,5
18072,4
18073,4
18074,6
18075,4
18076,4
18077,5
18078,4
18079,2
18080,1
18081,6
18082,4
18083,3
18084,5
18085,6
18086,7
18087,4
18088,3
18089,5
18090,5
18091,3
18092,3
18093,1
18094,2
18095,3
18096,3
18097,1
18098,4
18099,4
18100,2
18101,2
18102,4
18103,6
18104,4
18105,4
18106,5
18107,4
18108,1
18109,6
18110,6
18111,2
18112,4
18113,2
18114,5
18115,1
18116,5
18117,6
18118,5
18119,2
18120,5
18121,3
18122,2
