id,Danceability
17170,6.0
17171,8.0
17172,3.0
17173,8.0
17174,0.0
17175,6.0
17176,4.0
17177,2.0
17178,7.0
17179,0.0
17180,4.0
17181,6.0
17182,8.0
17183,5.0
17184,8.0
17185,1.0
17186,2.0
17187,2.0
17188,1.0
17189,0.0
17190,7.0
17191,6.0
17192,9.0
17193,5.0
17194,9.0
17195,9.0
17196,9.0
17197,9.0
17198,8.0
17199,8.0
17200,1.0
17201,4.0
17202,1.0
17203,1.0
17204,8.0
17205,1.0
17206,8.0
17207,0.0
17208,3.0
17209,3.0
17210,2.0
17211,3.0
17212,1.0
17213,5.0
17214,7.0
17215,6.0
17216,5.0
17217,5.0
17218,9.0
17219,8.0
17220,7.0
17221,7.0
17222,5.0
17223,4.0
17224,7.0
17225,1.0
17226,6.0
17227,1.0
17228,3.0
17229,0.0
17230,3.0
17231,6.0
17232,1.0
17233,4.0
17234,2.0
17235,6.0
17236,2.0
17237,3.0
17238,0.0
17239,2.0
17240,2.0
17241,1.0
17242,0.0
17243,3.0
17244,1.0
17245,4.0
17246,7.0
17247,9.0
17248,2.0
17249,7.0
17250,2.0
17251,2.0
17252,4.0
17253,3.0
17254,4.0
17255,8.0
17256,9.0
17257,9.0
17258,6.0
17259,5.0
17260,7.0
17261,7.0
17262,7.0
17263,9.0
17264,1.0
17265,7.0
17266,1.0
17267,4.0
17268,6.0
17269,2.0
17270,6.0
17271,9.0
17272,6.0
17273,6.0
17274,9.0
17275,7.0
17276,6.0
17277,1.0
17278,9.0
17279,6.0
17280,0.0
17281,7.0
17282,1.0
17283,5.0
17284,9.0
17285,7.0
17286,9.0
17287,6.0
17288,7.0
17289,6.0
17290,4.0
17291,0.0
17292,9.0
17293,5.0
17294,9.0
17295,7.0
17296,9.0
17297,6.0
17298,6.0
17299,9.0
17300,9.0
17301,8.0
17302,9.0
17303,2.0
17304,6.0
17305,4.0
17306,3.0
17307,4.0
17308,0.0
17309,2.0
17310,4.0
17311,5.0
17312,4.0
17313,2.0
17314,6.0
17315,8.0
17316,7.0
17317,7.0
17318,3.0
17319,4.0
17320,7.0
17321,2.0
17322,5.0
17323,4.0
17324,7.0
17325,3.0
17326,5.0
17327,7.0
17328,2.0
17329,8.0
17330,6.0
17331,6.0
17332,2.0
17333,7.0
17334,8.0
17335,5.0
17336,8.0
17337,6.0
17338,8.0
17339,7.0
17340,1.0
17341,9.0
17342,8.0
17343,1.0
17344,0.0
17345,7.0
17346,9.0
17347,5.0
17348,9.0
17349,3.0
17350,7.0
17351,6.0
17352,7.0
17353,7.0
17354,3.0
17355,8.0
17356,8.0
17357,7.0
17358,0.0
17359,9.0
17360,9.0
17361,9.0
17362,2.0
17363,9.0
17364,9.0
17365,7.0
17366,8.0
17367,9.0
17368,9.0
17369,9.0
17370,9.0
17371,9.0
17372,0.0
17373,0.0
17374,3.0
17375,1.0
17376,4.0
17377,0.0
17378,2.0
17379,9.0
17380,9.0
17381,4.0
17382,4.0
17383,9.0
17384,9.0
17385,7.0
17386,9.0
17387,6.0
17388,8.0
17389,8.0
17390,9.0
17391,7.0
17392,9.0
17393,8.0
17394,7.0
17395,7.0
17396,9.0
17397,6.0
17398,8.0
17399,3.0
17400,6.0
17401,1.0
17402,8.0
17403,9.0
17404,7.0
17405,8.0
17406,0.0
17407,2.0
17408,0.0
17409,5.0
17410,3.0
17411,6.0
17412,9.0
17413,6.0
17414,7.0
17415,5.0
17416,8.0
17417,6.0
17418,9.0
17419,1.0
17420,2.0
17421,9.0
17422,2.0
17423,4.0
17424,8.0
17425,8.0
17426,5.0
17427,5.0
17428,0.0
17429,7.0
17430,4.0
17431,6.0
17432,7.0
17433,6.0
17434,6.0
17435,4.0
17436,4.0
17437,1.0
17438,8.0
17439,5.0
17440,2.0
17441,6.0
17442,0.0
17443,5.0
17444,4.0
17445,8.0
17446,6.0
17447,8.0
17448,0.0
17449,8.0
17450,5.0
17451,7.0
17452,6.0
17453,9.0
17454,9.0
17455,6.0
17456,7.0
17457,5.0
17458,4.0
17459,8.0
17460,0.0
17461,6.0
17462,2.0
17463,1.0
17464,5.0
17465,1.0
17466,2.0
17467,3.0
17468,3.0
17469,8.0
17470,1.0
17471,7.0
17472,1.0
17473,8.0
17474,3.0
17475,8.0
17476,9.0
17477,9.0
17478,9.0
17479,5.0
17480,5.0
17481,4.0
17482,9.0
17483,9.0
17484,9.0
17485,5.0
17486,9.0
17487,2.0
17488,5.0
17489,3.0
17490,9.0
17491,6.0
17492,3.0
17493,8.0
17494,7.0
17495,1.0
17496,5.0
17497,8.0
17498,5.0
17499,5.0
17500,2.0
17501,5.0
17502,6.0
17503,2.0
17504,2.0
17505,3.0
17506,1.0
17507,5.0
17508,6.0
17509,9.0
17510,7.0
17511,9.0
17512,5.0
17513,5.0
17514,7.0
17515,9.0
17516,0.0
17517,2.0
17518,6.0
17519,9.0
17520,4.0
17521,6.0
17522,5.0
17523,6.0
17524,7.0
17525,8.0
17526,6.0
17527,5.0
17528,4.0
17529,7.0
17530,0.0
17531,5.0
17532,3.0
17533,0.0
17534,8.0
17535,2.0
17536,2.0
17537,9.0
17538,7.0
