id,Danceability
17170,5
17171,6
17172,4
17173,5
17174,6
17175,5
17176,5
17177,3
17178,3
17179,4
17180,5
17181,5
17182,6
17183,7
17184,5
17185,6
17186,5
17187,2
17188,4
17189,6
17190,7
17191,6
17192,7
17193,7
17194,4
17195,8
17196,7
17197,6
17198,8
17199,4
17200,4
17201,5
17202,2
17203,2
17204,6
17205,4
17206,6
17207,2
17208,2
17209,2
17210,4
17211,5
17212,1
17213,7
17214,6
17215,5
17216,6
17217,7
17218,6
17219,6
17220,6
17221,2
17222,5
17223,5
17224,5
17225,3
17226,4
17227,3
17228,4
17229,4
17230,3
17231,4
17232,5
17233,2
17234,2
17235,3
17236,2
17237,2
17238,2
17239,3
17240,1
17241,3
17242,1
17243,2
17244,3
17245,4
17246,5
17247,6
17248,3
17249,5
17250,3
17251,4
17252,6
17253,4
17254,5
17255,7
17256,5
17257,7
17258,4
17259,2
17260,5
17261,6
17262,7
17263,7
17264,5
17265,7
17266,3
17267,4
17268,7
17269,5
17270,6
17271,7
17272,5
17273,6
17274,6
17275,6
17276,5
17277,4
17278,6
17279,5
17280,3
17281,6
17282,2
17283,7
17284,8
17285,6
17286,5
17287,3
17288,6
17289,5
17290,6
17291,6
17292,6
17293,6
17294,8
17295,8
17296,5
17297,5
17298,6
17299,8
17300,7
17301,7
17302,6
17303,2
17304,6
17305,5
17306,5
17307,5
17308,2
17309,6
17310,5
17311,7
17312,4
17313,6
17314,7
17315,7
17316,6
17317,7
17318,6
17319,4
17320,7
17321,6
17322,4
17323,5
17324,5
17325,5
17326,4
17327,3
17328,2
17329,6
17330,4
17331,4
17332,4
17333,4
17334,4
17335,4
17336,7
17337,6
17338,7
17339,7
17340,6
17341,4
17342,4
17343,3
17344,2
17345,3
17346,5
17347,3
17348,5
17349,3
17350,6
17351,4
17352,6
17353,5
17354,6
17355,4
17356,6
17357,6
17358,6
17359,7
17360,7
17361,6
17362,5
17363,6
17364,7
17365,6
17366,6
17367,7
17368,7
17369,6
17370,8
17371,7
17372,4
17373,6
17374,5
17375,4
17376,5
17377,1
17378,3
17379,7
17380,5
17381,6
17382,6
17383,6
17384,7
17385,8
17386,6
17387,5
17388,7
17389,6
17390,6
17391,5
17392,7
17393,7
17394,7
17395,5
17396,8
17397,5
17398,6
17399,4
17400,6
17401,3
17402,4
17403,3
17404,6
17405,8
17406,2
17407,4
17408,4
17409,6
17410,3
17411,6
17412,4
17413,7
17414,6
17415,5
17416,6
17417,6
17418,7
17419,8
17420,4
17421,8
17422,5
17423,2
17424,6
17425,6
17426,4
17427,5
17428,2
17429,4
17430,5
17431,6
17432,7
17433,4
17434,7
17435,4
17436,3
17437,2
17438,7
17439,4
17440,2
17441,4
17442,3
17443,4
17444,6
17445,4
17446,2
17447,7
17448,1
17449,6
17450,6
17451,6
17452,5
17453,6
17454,7
17455,4
17456,5
17457,5
17458,6
17459,7
17460,3
17461,6
17462,3
17463,3
17464,5
17465,2
17466,4
17467,3
17468,5
17469,5
17470,2
17471,7
17472,3
17473,5
17474,4
17475,4
17476,7
17477,6
17478,6
17479,6
17480,4
17481,5
17482,5
17483,6
17484,6
17485,7
17486,7
17487,4
17488,7
17489,3
17490,7
17491,5
17492,5
17493,5
17494,5
17495,4
17496,6
17497,7
17498,6
17499,6
17500,3
17501,4
17502,5
17503,2
17504,4
17505,2
17506,2
17507,3
17508,4
17509,6
17510,7
17511,4
17512,6
17513,4
17514,5
17515,5
17516,4
17517,3
17518,7
17519,5
17520,4
17521,8
17522,7
17523,6
17524,6
17525,7
17526,6
17527,6
17528,4
17529,6
17530,5
17531,5
17532,5
17533,3
17534,5
17535,4
17536,6
17537,7
17538,3
17539,7
17540,7
17541,8
17542,3
17543,4
17544,4
17545,7
17546,5
17547,6
17548,5
17549,3
17550,5
17551,7
17552,4
17553,5
17554,7
17555,5
17556,4
17557,4
17558,6
17559,7
17560,7
17561,7
17562,3
17563,4
17564,6
17565,3
17566,6
17567,3
17568,4
17569,2
17570,3
17571,7
17572,5
17573,4
17574,2
17575,4
17576,2
17577,5
17578,5
17579,5
17580,7
17581,6
17582,4
17583,5
17584,5
17585,5
17586,6
17587,4
17588,4
17589,6
17590,7
17591,7
17592,7
17593,3
17594,4
17595,6
17596,4
17597,2
17598,6
17599,6
17600,3
17601,6
17602,6
17603,3
17604,3
17605,2
17606,1
17607,5
17608,6
17609,7
17610,2
17611,5
17612,5
17613,8
17614,1
17615,2
17616,4
17617,3
17618,2
17619,3
17620,5
17621,4
17622,6
17623,5
17624,4
17625,3
17626,8
17627,4
17628,2
17629,3
17630,8
17631,2
17632,5
17633,3
17634,4
17635,3
17636,5
17637,2
17638,2
17639,5
17640,4
17641,2
17642,4
17643,3
17644,4
17645,3
17646,6
17647,2
17648,5
17649,2
17650,4
17651,2
17652,2
17653,6
17654,1
17655,4
17656,3
17657,2
17658,1
17659,0
17660,1
17661,0
17662,0
17663,1
17664,1
17665,1
17666,0
17667,5
17668,3
17669,3
17670,2
17671,1
17672,4
17673,4
17674,3
17675,3
17676,5
17677,2
17678,2
17679,1
17680,3
17681,7
17682,7
17683,5
17684,4
17685,4
17686,3
17687,3
17688,3
17689,2
17690,3
17691,5
17692,3
17693,2
17694,4
17695,6
17696,2
17697,1
17698,1
17699,2
17700,2
17701,5
17702,5
17703,6
17704,4
17705,6
17706,5
17707,4
17708,7
17709,5
17710,3
17711,1
17712,6
17713,4
17714,0
17715,1
17716,3
17717,0
17718,3
17719,2
17720,2
17721,0
17722,0
17723,1
17724,3
17725,4
17726,4
17727,1
17728,2
17729,3
17730,3
17731,2
17732,3
17733,2
17734,6
17735,5
17736,4
17737,3
17738,5
17739,2
17740,3
17741,2
17742,7
17743,6
17744,3
17745,4
17746,3
17747,5
17748,3
17749,2
17750,5
17751,2
17752,4
17753,4
17754,5
17755,5
17756,6
17757,5
17758,7
17759,2
17760,1
17761,3
17762,3
17763,5
17764,1
17765,6
17766,4
17767,6
17768,4
17769,3
17770,2
17771,6
17772,5
17773,7
17774,7
17775,6
17776,6
17777,3
17778,5
17779,8
17780,5
17781,5
17782,3
17783,7
17784,6
17785,3
17786,5
17787,1
17788,2
17789,5
17790,3
17791,6
17792,4
17793,5
17794,2
17795,8
17796,6
17797,8
17798,8
17799,4
17800,7
17801,2
17802,6
17803,7
17804,8
17805,4
17806,6
17807,3
17808,0
17809,8
17810,7
17811,3
17812,5
17813,5
17814,5
17815,4
17816,5
17817,3
17818,5
