id,Danceability
17170,3.0
17171,6.0
17172,1.0
17173,7.0
17174,3.0
17175,6.0
17176,2.0
17177,1.0
17178,4.0
17179,3.0
17180,8.0
17181,6.0
17182,7.0
17183,6.0
17184,1.0
17185,2.0
17186,6.0
17187,0.0
17188,5.0
17189,3.0
17190,9.0
17191,6.0
17192,9.0
17193,9.0
17194,1.0
17195,9.0
17196,9.0
17197,9.0
17198,9.0
17199,7.0
17200,2.0
17201,1.0
17202,1.0
17203,3.0
17204,7.0
17205,3.0
17206,7.0
17207,0.0
17208,0.0
17209,1.0
17210,9.0
17211,7.0
17212,0.0
17213,8.0
17214,6.0
17215,8.0
17216,7.0
17217,9.0
17218,6.0
17219,9.0
17220,7.0
17221,0.0
17222,8.0
17223,7.0
17224,3.0
17225,0.0
17226,6.0
17227,1.0
17228,1.0
17229,1.0
17230,4.0
17231,2.0
17232,2.0
17233,6.0
17234,0.0
17235,8.0
17236,2.0
17237,0.0
17238,0.0
17239,4.0
17240,0.0
17241,1.0
17242,0.0
17243,2.0
17244,1.0
17245,7.0
17246,3.0
17247,9.0
17248,2.0
17249,5.0
17250,0.0
17251,1.0
17252,7.0
17253,3.0
17254,7.0
17255,8.0
17256,3.0
17257,6.0
17258,3.0
17259,4.0
17260,3.0
17261,7.0
17262,3.0
17263,9.0
17264,8.0
17265,7.0
17266,2.0
17267,5.0
17268,8.0
17269,6.0
17270,6.0
17271,8.0
17272,6.0
17273,8.0
17274,8.0
17275,6.0
17276,8.0
17277,2.0
17278,5.0
17279,2.0
17280,1.0
17281,6.0
17282,1.0
17283,9.0
17284,9.0
17285,7.0
17286,2.0
17287,2.0
17288,9.0
17289,7.0
17290,9.0
17291,7.0
17292,9.0
17293,5.0
17294,8.0
17295,8.0
17296,6.0
17297,2.0
17298,8.0
17299,8.0
17300,9.0
17301,8.0
17302,6.0
17303,0.0
17304,7.0
17305,7.0
17306,7.0
17307,7.0
17308,0.0
17309,9.0
17310,7.0
17311,7.0
17312,7.0
17313,8.0
17314,8.0
17315,9.0
17316,7.0
17317,9.0
17318,5.0
17319,7.0
17320,9.0
17321,5.0
17322,5.0
17323,5.0
17324,2.0
17325,6.0
17326,9.0
17327,1.0
17328,2.0
17329,3.0
17330,4.0
17331,8.0
17332,6.0
17333,7.0
17334,7.0
17335,6.0
17336,8.0
17337,9.0
17338,8.0
17339,7.0
17340,8.0
17341,8.0
17342,4.0
17343,0.0
17344,0.0
17345,0.0
17346,4.0
17347,4.0
17348,4.0
17349,2.0
17350,7.0
17351,6.0
17352,5.0
17353,7.0
17354,7.0
17355,1.0
17356,8.0
17357,7.0
17358,7.0
17359,9.0
17360,7.0
17361,8.0
17362,8.0
17363,8.0
17364,9.0
17365,8.0
17366,7.0
17367,9.0
17368,8.0
17369,9.0
17370,8.0
17371,8.0
17372,3.0
17373,6.0
17374,6.0
17375,8.0
17376,6.0
17377,0.0
17378,1.0
17379,8.0
17380,1.0
17381,8.0
17382,8.0
17383,8.0
17384,9.0
17385,3.0
17386,9.0
17387,9.0
17388,7.0
17389,8.0
17390,7.0
17391,6.0
17392,9.0
17393,8.0
17394,8.0
17395,6.0
17396,8.0
17397,5.0
17398,7.0
17399,3.0
17400,7.0
17401,1.0
17402,3.0
17403,9.0
17404,7.0
17405,8.0
17406,1.0
17407,6.0
17408,3.0
17409,6.0
17410,3.0
17411,7.0
17412,6.0
17413,9.0
17414,7.0
17415,1.0
17416,8.0
17417,8.0
17418,6.0
17419,8.0
17420,2.0
17421,8.0
17422,1.0
17423,0.0
17424,8.0
17425,8.0
17426,4.0
17427,1.0
17428,0.0
17429,4.0
17430,4.0
17431,6.0
17432,4.0
17433,1.0
17434,8.0
17435,6.0
17436,1.0
17437,0.0
17438,8.0
17439,3.0
17440,2.0
17441,4.0
17442,2.0
17443,0.0
17444,5.0
17445,1.0
17446,1.0
17447,5.0
17448,0.0
17449,6.0
17450,7.0
17451,7.0
17452,6.0
17453,9.0
17454,8.0
17455,2.0
17456,7.0
17457,5.0
17458,8.0
17459,8.0
17460,2.0
17461,5.0
17462,2.0
17463,0.0
17464,5.0
17465,2.0
17466,2.0
17467,2.0
17468,6.0
17469,6.0
17470,7.0
17471,7.0
17472,1.0
17473,2.0
17474,1.0
17475,1.0
17476,9.0
17477,1.0
17478,9.0
17479,6.0
17480,1.0
17481,5.0
17482,9.0
17483,4.0
17484,1.0
17485,9.0
17486,9.0
17487,1.0
17488,5.0
17489,2.0
17490,7.0
17491,6.0
17492,8.0
17493,9.0
17494,3.0
17495,0.0
17496,9.0
17497,8.0
17498,9.0
17499,8.0
17500,3.0
17501,2.0
17502,5.0
17503,5.0
17504,0.0
17505,2.0
17506,0.0
17507,3.0
17508,6.0
17509,4.0
17510,8.0
17511,1.0
17512,6.0
17513,3.0
17514,3.0
17515,6.0
17516,6.0
17517,1.0
17518,7.0
17519,6.0
17520,2.0
17521,8.0
17522,8.0
17523,8.0
17524,9.0
17525,7.0
17526,8.0
17527,8.0
17528,7.0
17529,6.0
17530,5.0
17531,5.0
17532,9.0
17533,5.0
17534,7.0
17535,6.0
17536,2.0
17537,9.0
17538,4.0
17539,7.0
17540,9.0
17541,8.0
17542,2.0
17543,9.0
17544,6.0
17545,8.0
17546,3.0
17547,6.0
17548,7.0
17549,0.0
17550,7.0
17551,7.0
17552,6.0
17553,3.0
17554,8.0
17555,7.0
17556,6.0
17557,7.0
17558,8.0
17559,9.0
17560,7.0
17561,7.0
17562,6.0
17563,0.0
17564,7.0
17565,8.0
17566,5.0
17567,6.0
17568,3.0
17569,1.0
17570,2.0
17571,8.0
17572,1.0
17573,1.0
17574,0.0
17575,3.0
17576,0.0
17577,2.0
17578,1.0
17579,9.0
17580,8.0
17581,6.0
17582,6.0
17583,6.0
17584,6.0
17585,6.0
17586,6.0
17587,4.0
17588,4.0
17589,8.0
17590,8.0
17591,9.0
17592,8.0
17593,0.0
17594,9.0
17595,9.0
17596,2.0
17597,2.0
17598,6.0
17599,8.0
17600,6.0
17601,7.0
17602,9.0
17603,1.0
17604,0.0
17605,0.0
17606,2.0
17607,8.0
17608,8.0
17609,8.0
17610,0.0
17611,4.0
17612,3.0
17613,8.0
17614,0.0
17615,3.0
17616,2.0
17617,6.0
17618,0.0
17619,6.0
17620,6.0
17621,1.0
17622,3.0
17623,5.0
17624,2.0
17625,3.0
17626,8.0
17627,1.0
17628,1.0
17629,2.0
17630,9.0
17631,0.0
17632,4.0
17633,0.0
17634,8.0
17635,1.0
17636,8.0
17637,0.0
17638,3.0
17639,3.0
17640,2.0
17641,1.0
17642,8.0
17643,2.0
17644,6.0
17645,0.0
17646,2.0
17647,0.0
17648,6.0
17649,2.0
17650,6.0
17651,2.0
17652,1.0
17653,6.0
17654,0.0
17655,3.0
17656,2.0
17657,0.0
17658,0.0
17659,0.0
17660,0.0
17661,0.0
17662,0.0
17663,0.0
17664,0.0
17665,0.0
17666,0.0
17667,6.0
17668,5.0
17669,2.0
17670,2.0
17671,0.0
17672,2.0
17673,2.0
17674,0.0
17675,2.0
17676,8.0
17677,0.0
17678,0.0
17679,0.0
17680,2.0
17681,8.0
17682,7.0
17683,2.0
17684,2.0
17685,4.0
17686,0.0
17687,0.0
17688,0.0
17689,1.0
17690,2.0
17691,2.0
17692,0.0
17693,0.0
17694,1.0
17695,3.0
17696,0.0
17697,0.0
17698,0.0
17699,0.0
17700,0.0
17701,8.0
17702,6.0
17703,2.0
17704,3.0
17705,7.0
17706,2.0
17707,2.0
17708,8.0
17709,6.0
17710,2.0
17711,0.0
17712,6.0
17713,2.0
17714,0.0
17715,0.0
17716,0.0
17717,0.0
17718,5.0
17719,0.0
17720,0.0
17721,0.0
17722,0.0
17723,0.0
17724,6.0
17725,0.0
17726,0.0
17727,0.0
17728,4.0
17729,1.0
17730,1.0
17731,1.0
17732,3.0
17733,0.0
17734,8.0
17735,6.0
17736,6.0
17737,1.0
17738,4.0
17739,1.0
17740,1.0
17741,0.0
17742,9.0
17743,6.0
17744,0.0
17745,1.0
17746,2.0
17747,5.0
17748,2.0
17749,0.0
17750,2.0
17751,2.0
17752,2.0
17753,5.0
17754,8.0
17755,2.0
17756,6.0
17757,1.0
17758,8.0
17759,2.0
17760,0.0
17761,5.0
17762,2.0
17763,2.0
17764,0.0
17765,9.0
17766,8.0
17767,6.0
17768,6.0
17769,1.0
17770,0.0
17771,6.0
17772,6.0
17773,9.0
17774,8.0
17775,8.0
17776,7.0
17777,4.0
17778,6.0
17779,8.0
17780,8.0
17781,5.0
17782,1.0
17783,8.0
17784,8.0
17785,5.0
17786,6.0
17787,0.0
17788,2.0
17789,1.0
17790,0.0
17791,3.0
17792,6.0
17793,2.0
17794,2.0
17795,9.0
17796,6.0
17797,9.0
17798,9.0
17799,1.0
17800,9.0
17801,0.0
17802,9.0
17803,8.0
17804,9.0
17805,7.0
17806,8.0
17807,6.0
17808,0.0
17809,9.0
17810,6.0
17811,6.0
17812,8.0
17813,8.0
17814,8.0
17815,7.0
17816,8.0
17817,7.0
17818,6.0
17819,9.0
17820,8.0
17821,3.0
17822,3.0
17823,8.0
17824,2.0
17825,8.0
17826,4.0
17827,8.0
17828,6.0
17829,8.0
17830,0.0
17831,8.0
17832,8.0
17833,0.0
17834,1.0
17835,7.0
17836,0.0
17837,0.0
17838,4.0
17839,0.0
17840,2.0
17841,8.0
17842,2.0
17843,6.0
17844,2.0
17845,9.0
17846,7.0
17847,8.0
17848,8.0
17849,9.0
17850,9.0
17851,9.0
17852,3.0
17853,9.0
17854,9.0
17855,7.0
17856,8.0
17857,8.0
17858,7.0
17859,8.0
17860,9.0
17861,6.0
17862,1.0
17863,2.0
17864,7.0
17865,7.0
17866,8.0
17867,1.0
17868,3.0
17869,1.0
17870,6.0
17871,0.0
17872,6.0
17873,1.0
17874,7.0
17875,0.0
17876,3.0
17877,2.0
17878,6.0
17879,1.0
17880,2.0
17881,0.0
17882,3.0
17883,1.0
17884,7.0
17885,1.0
17886,3.0
17887,1.0
17888,6.0
17889,7.0
17890,8.0
17891,3.0
17892,1.0
17893,1.0
17894,2.0
17895,7.0
17896,9.0
17897,4.0
17898,9.0
17899,0.0
17900,6.0
17901,6.0
17902,8.0
17903,6.0
17904,2.0
17905,9.0
17906,8.0
17907,8.0
17908,5.0
17909,6.0
17910,9.0
17911,3.0
17912,2.0
17913,6.0
17914,0.0
17915,8.0
17916,0.0
17917,6.0
17918,3.0
17919,0.0
17920,5.0
17921,0.0
17922,2.0
17923,6.0
17924,7.0
17925,5.0
17926,0.0
17927,6.0
17928,0.0
17929,1.0
17930,5.0
17931,1.0
17932,7.0
17933,7.0
17934,7.0
17935,7.0
17936,5.0
17937,6.0
17938,6.0
17939,2.0
17940,5.0
17941,8.0
17942,8.0
17943,6.0
17944,0.0
17945,3.0
17946,8.0
17947,8.0
17948,5.0
17949,7.0
17950,0.0
17951,2.0
17952,8.0
17953,2.0
17954,8.0
17955,8.0
17956,5.0
17957,6.0
17958,6.0
17959,6.0
17960,0.0
17961,5.0
17962,1.0
17963,8.0
17964,9.0
17965,8.0
17966,9.0
17967,4.0
17968,9.0
17969,9.0
17970,9.0
17971,7.0
17972,9.0
17973,9.0
17974,6.0
17975,8.0
17976,8.0
17977,8.0
17978,3.0
17979,6.0
17980,7.0
17981,7.0
17982,1.0
17983,8.0
17984,8.0
17985,8.0
17986,8.0
17987,8.0
17988,6.0
17989,7.0
17990,8.0
17991,7.0
17992,4.0
17993,9.0
17994,2.0
17995,2.0
17996,8.0
17997,6.0
17998,6.0
17999,7.0
18000,6.0
18001,8.0
18002,8.0
18003,6.0
18004,8.0
18005,0.0
18006,5.0
18007,5.0
18008,8.0
18009,4.0
18010,1.0
18011,8.0
18012,1.0
18013,6.0
18014,1.0
18015,7.0
18016,1.0
18017,8.0
18018,3.0
18019,8.0
18020,8.0
18021,0.0
18022,8.0
18023,4.0
18024,6.0
18025,9.0
18026,6.0
18027,7.0
18028,5.0
18029,0.0
18030,0.0
18031,0.0
18032,0.0
18033,0.0
18034,0.0
18035,0.0
18036,0.0
18037,0.0
18038,7.0
18039,6.0
18040,1.0
18041,6.0
18042,2.0
18043,1.0
18044,2.0
18045,5.0
18046,0.0
18047,6.0
18048,6.0
18049,1.0
18050,1.0
18051,7.0
18052,0.0
18053,8.0
18054,2.0
18055,7.0
18056,1.0
18057,6.0
18058,8.0
18059,1.0
18060,1.0
18061,2.0
18062,3.0
18063,3.0
18064,0.0
18065,3.0
18066,8.0
18067,8.0
18068,8.0
18069,4.0
18070,8.0
18071,2.0
18072,2.0
18073,3.0
18074,8.0
18075,5.0
18076,8.0
18077,8.0
18078,7.0
18079,2.0
18080,1.0
18081,8.0
18082,7.0
18083,6.0
18084,7.0
18085,6.0
18086,9.0
18087,7.0
18088,9.0
18089,9.0
18090,9.0
18091,1.0
18092,2.0
18093,0.0
18094,2.0
18095,6.0
18096,1.0
18097,0.0
18098,8.0
18099,2.0
18100,0.0
18101,2.0
18102,6.0
18103,6.0
18104,7.0
18105,6.0
18106,5.0
18107,6.0
18108,1.0
18109,2.0
18110,6.0
18111,6.0
18112,4.0
18113,6.0
18114,5.0
18115,0.0
18116,7.0
18117,6.0
18118,3.0
18119,6.0
18120,5.0
18121,3.0
18122,4.0
18123,3.0
18124,8.0
18125,7.0
18126,0.0
18127,8.0
18128,6.0
18129,3.0
18130,6.0
18131,2.0
18132,6.0
18133,2.0
18134,1.0
18135,0.0
18136,6.0
18137,8.0
18138,4.0
18139,8.0
18140,2.0
18141,6.0
18142,2.0
18143,7.0
18144,5.0
18145,6.0
18146,8.0
18147,5.0
18148,2.0
18149,1.0
18150,9.0
18151,3.0
18152,9.0
18153,9.0
18154,9.0
18155,6.0
18156,9.0
18157,9.0
18158,1.0
18159,6.0
18160,8.0
18161,6.0
18162,6.0
18163,8.0
18164,3.0
18165,9.0
18166,5.0
18167,8.0
18168,2.0
18169,8.0
18170,9.0
18171,8.0
18172,8.0
18173,6.0
18174,9.0
18175,8.0
18176,9.0
18177,7.0
18178,5.0
18179,1.0
18180,7.0
18181,8.0
18182,8.0
