id,Danceability
17170,4
17171,5
17172,3
17173,3
17174,4
17175,4
17176,3
17177,1
17178,4
17179,3
17180,4
17181,5
17182,5
17183,4
17184,3
17185,5
17186,6
17187,2
17188,4
17189,5
17190,6
17191,3
17192,5
17193,6
17194,2
17195,8
17196,5
17197,6
17198,7
17199,4
17200,2
17201,0
17202,1
17203,0
17204,2
17205,4
17206,4
17207,0
17208,1
17209,2
17210,6
17211,5
17212,0
17213,7
17214,5
17215,5
17216,6
17217,6
17218,4
17219,6
17220,4
17221,2
17222,2
17223,3
17224,2
17225,0
17226,3
17227,2
17228,2
17229,2
17230,0
17231,3
17232,3
17233,2
17234,0
17235,3
17236,2
17237,0
17238,0
17239,2
17240,0
17241,0
17242,0
17243,5
17244,0
17245,3
17246,2
17247,6
17248,3
17249,4
17250,1
17251,3
17252,4
17253,2
17254,2
17255,7
17256,5
17257,4
17258,3
17259,3
17260,3
17261,4
17262,5
17263,8
17264,5
17265,4
17266,1
17267,4
17268,7
17269,5
17270,6
17271,6
17272,4
17273,6
17274,6
17275,4
17276,5
17277,1
17278,4
17279,3
17280,2
17281,4
17282,0
17283,7
17284,5
17285,6
17286,1
17287,2
17288,8
17289,5
17290,4
17291,3
17292,3
17293,4
17294,7
17295,4
17296,5
17297,1
17298,4
17299,7
17300,5
17301,6
17302,6
17303,0
17304,5
17305,3
17306,3
17307,4
17308,3
17309,7
17310,5
17311,5
17312,3
17313,4
17314,5
17315,5
17316,4
17317,6
17318,2
17319,5
17320,8
17321,6
17322,4
17323,3
17324,1
17325,3
17326,5
17327,3
17328,0
17329,4
17330,2
17331,5
17332,4
17333,1
17334,1
17335,2
17336,8
17337,4
17338,6
17339,4
17340,5
17341,6
17342,2
17343,0
17344,1
17345,2
17346,4
17347,3
17348,3
17349,2
17350,4
17351,0
17352,4
17353,3
17354,2
17355,5
17356,5
17357,4
17358,3
17359,7
17360,5
17361,5
17362,6
17363,5
17364,5
17365,4
17366,3
17367,6
17368,6
17369,6
17370,8
17371,5
17372,3
17373,4
17374,4
17375,4
17376,3
17377,0
17378,2
17379,6
17380,4
17381,5
17382,6
17383,7
17384,8
17385,3
17386,6
17387,4
17388,6
17389,6
17390,7
17391,5
17392,8
17393,6
17394,5
17395,3
17396,8
17397,5
17398,3
17399,2
17400,3
17401,2
17402,3
17403,3
17404,5
17405,4
17406,2
17407,3
17408,2
17409,4
17410,2
17411,5
17412,3
17413,7
17414,5
17415,3
17416,5
17417,6
17418,6
17419,6
17420,3
17421,8
17422,3
17423,0
17424,7
17425,5
17426,3
17427,3
17428,3
17429,3
17430,4
17431,3
17432,5
17433,1
17434,6
17435,4
17436,1
17437,1
17438,6
17439,2
17440,2
17441,3
17442,2
17443,2
17444,3
17445,3
17446,3
17447,4
17448,1
17449,3
17450,3
17451,4
17452,4
17453,6
17454,6
17455,4
17456,5
17457,4
17458,7
17459,6
17460,2
17461,2
17462,1
17463,1
17464,3
17465,1
17466,3
17467,2
17468,5
17469,5
17470,0
17471,6
17472,4
17473,3
17474,2
17475,2
17476,6
17477,3
17478,6
17479,4
17480,4
17481,2
17482,5
17483,6
17484,4
17485,5
17486,7
17487,1
17488,4
17489,2
17490,5
17491,5
17492,6
17493,5
17494,6
17495,2
17496,6
17497,6
17498,7
17499,5
17500,2
17501,1
17502,3
17503,0
17504,1
17505,1
17506,2
17507,2
17508,3
17509,5
17510,5
17511,4
17512,5
17513,3
17514,3
17515,5
17516,2
17517,3
17518,4
17519,5
17520,3
17521,6
17522,6
17523,7
17524,5
17525,6
17526,6
17527,6
17528,4
17529,4
17530,3
17531,3
17532,4
17533,2
17534,5
17535,4
17536,3
17537,6
17538,2
17539,3
17540,5
17541,6
17542,1
17543,4
17544,4
17545,6
17546,2
17547,4
17548,3
17549,1
17550,6
17551,7
17552,4
17553,2
17554,6
17555,5
17556,2
17557,2
17558,5
17559,6
17560,7
17561,4
17562,1
17563,2
17564,3
17565,6
17566,6
17567,2
17568,4
17569,0
17570,3
17571,6
17572,4
17573,3
17574,2
17575,3
17576,2
17577,2
17578,4
17579,7
17580,7
17581,5
17582,3
17583,2
17584,4
17585,5
17586,5
17587,4
17588,3
17589,4
17590,8
17591,5
17592,4
17593,3
17594,3
