id,Danceability
17170,5
17171,5
17172,4
17173,3
17174,5
17175,6
17176,6
17177,3
17178,6
17179,4
17180,5
17181,5
17182,6
17183,6
17184,4
17185,5
17186,5
17187,2
17188,3
17189,5
17190,8
17191,6
17192,7
17193,6
17194,4
17195,8
17196,6
17197,6
17198,8
17199,4
17200,4
17201,3
17202,1
17203,2
17204,5
17205,3
17206,6
17207,1
17208,2
17209,3
17210,5
17211,5
17212,1
17213,7
17214,6
17215,6
17216,7
17217,6
17218,6
17219,6
17220,7
17221,2
17222,5
17223,5
17224,4
17225,3
17226,5
17227,3
17228,3
17229,3
17230,2
17231,4
17232,5
17233,3
17234,2
17235,3
17236,2
17237,2
17238,1
17239,3
17240,0
17241,1
17242,1
17243,5
17244,1
17245,4
17246,4
17247,6
17248,5
17249,5
17250,1
17251,4
17252,4
17253,4
17254,6
17255,8
17256,6
17257,7
17258,4
17259,3
17260,6
17261,6
17262,7
17263,8
17264,6
17265,6
17266,2
17267,5
17268,7
17269,6
17270,7
17271,7
17272,6
17273,6
17274,6
17275,6
17276,5
17277,4
17278,5
17279,5
17280,3
17281,5
17282,2
17283,7
17284,7
17285,7
17286,4
17287,3
17288,6
17289,5
17290,6
17291,4
17292,6
17293,5
17294,8
17295,8
17296,8
17297,5
17298,6
17299,9
17300,9
17301,7
17302,7
17303,2
17304,8
17305,5
17306,6
17307,5
17308,4
17309,7
17310,6
17311,6
17312,5
17313,7
17314,8
17315,7
17316,7
17317,6
17318,5
17319,5
17320,8
17321,6
17322,4
17323,6
17324,4
17325,2
17326,4
17327,4
17328,2
17329,6
17330,3
17331,6
17332,4
17333,4
17334,4
17335,5
17336,7
17337,6
17338,7
17339,7
17340,7
17341,3
17342,5
17343,2
17344,2
17345,3
17346,5
17347,5
17348,6
17349,2
17350,7
17351,3
17352,6
17353,5
17354,6
17355,5
17356,7
17357,7
17358,5
17359,7
17360,6
17361,7
17362,6
17363,7
17364,7
17365,6
17366,4
17367,7
17368,7
17369,6
17370,8
17371,7
17372,5
17373,4
17374,4
17375,5
17376,5
17377,1
17378,3
17379,7
17380,5
17381,5
17382,5
17383,6
17384,8
17385,6
17386,6
17387,5
17388,6
17389,6
17390,7
17391,4
17392,7
17393,7
17394,6
17395,6
17396,8
17397,6
17398,6
17399,4
17400,4
17401,2
17402,4
17403,3
17404,7
17405,5
17406,2
17407,5
17408,3
17409,6
17410,3
17411,6
17412,4
17413,7
17414,5
17415,4
17416,6
17417,8
17418,7
17419,8
17420,5
17421,8
17422,4
17423,1
17424,7
17425,7
17426,4
17427,5
17428,2
17429,4
17430,4
17431,6
17432,5
17433,4
17434,6
17435,4
17436,3
17437,1
17438,7
17439,4
17440,2
17441,4
17442,2
17443,3
17444,5
17445,5
17446,2
17447,5
17448,2
17449,5
17450,7
17451,8
17452,6
17453,7
17454,8
17455,5
17456,6
17457,6
17458,7
17459,8
17460,4
17461,5
17462,3
17463,2
17464,4
17465,2
17466,3
17467,3
17468,6
17469,5
17470,3
17471,7
17472,3
17473,4
17474,3
17475,4
17476,6
17477,6
17478,7
17479,6
17480,3
17481,4
17482,5
17483,6
17484,6
17485,8
17486,8
17487,5
17488,7
17489,4
17490,7
17491,5
17492,6
17493,7
17494,5
17495,2
17496,7
17497,6
17498,6
17499,6
17500,3
17501,3
17502,5
17503,2
17504,3
17505,2
17506,2
17507,3
17508,3
17509,6
17510,6
17511,4
17512,6
17513,4
17514,5
17515,6
17516,4
17517,4
17518,5
17519,6
17520,4
17521,7
17522,7
17523,7
17524,7
17525,7
17526,7
17527,6
17528,5
17529,7
17530,5
17531,6
17532,5
17533,4
17534,7
17535,5
17536,5
17537,6
17538,5
17539,7
17540,7
17541,7
17542,3
17543,5
17544,3
17545,4
17546,4
17547,5
17548,5
17549,3
17550,6
17551,8
17552,4
17553,5
17554,7
17555,6
17556,5
17557,6
17558,7
17559,8
17560,8
17561,7
17562,4
17563,3
17564,6
17565,4
17566,5
17567,2
17568,4
17569,2
17570,3
17571,8
17572,5
17573,4
17574,2
17575,3
17576,3
17577,5
17578,4
17579,6
17580,8
17581,6
17582,5
17583,4
17584,6
17585,7
17586,6
17587,5
17588,4
17589,6
17590,7
17591,7
17592,7
17593,3
17594,4
17595,7
17596,2
17597,3
17598,5
17599,7
17600,3
17601,7
17602,6
17603,4
17604,3
17605,2
17606,1
17607,6
17608,7
17609,7
17610,2
17611,4
17612,3
17613,8
17614,0
17615,1
17616,4
17617,3
17618,2
17619,3
17620,5
17621,3
17622,6
17623,5
17624,3
17625,3
17626,8
17627,3
17628,3
17629,2
17630,7
17631,2
17632,5
17633,1
17634,4
17635,2
17636,4
17637,2
17638,3
17639,3
17640,4
17641,3
17642,5
17643,3
17644,4
17645,3
17646,5
17647,1
17648,3
17649,1
17650,4
17651,3
17652,2
17653,5
17654,1
17655,2
17656,3
17657,2
17658,2
17659,0
17660,1
17661,0
17662,0
17663,0
17664,1
17665,0
17666,0
17667,5
17668,3
17669,2
17670,1
17671,1
17672,4
17673,3
17674,1
17675,1
17676,6
17677,2
17678,2
17679,2
17680,2
17681,7
17682,6
17683,4
17684,3
17685,4
17686,3
17687,1
17688,2
17689,3
17690,3
17691,5
17692,2
17693,2
17694,4
17695,4
17696,2
17697,0
17698,1
17699,1
17700,1
17701,5
17702,5
17703,5
17704,4
17705,6
17706,4
17707,3
17708,7
17709,6
17710,3
17711,1
17712,6
17713,3
17714,1
17715,0
17716,3
17717,0
17718,4
17719,2
17720,3
17721,0
17722,0
17723,1
17724,1
17725,3
17726,3
17727,1
17728,2
17729,1
17730,2
17731,1
17732,3
17733,1
17734,7
17735,4
17736,4
17737,3
17738,3
17739,2
17740,2
17741,1
17742,8
17743,6
17744,2
17745,4
17746,2
17747,5
17748,3
17749,2
17750,4
17751,2
17752,3
17753,5
17754,5
17755,5
17756,6
17757,6
17758,7
17759,3
17760,1
17761,3
17762,2
17763,4
17764,2
17765,7
17766,6
17767,6
17768,5
17769,3
17770,2
17771,6
17772,5
17773,7
17774,7
17775,5
17776,6
17777,3
17778,5
17779,7
17780,6
17781,5
17782,3
17783,8
17784,6
17785,4
17786,6
17787,1
17788,3
17789,4
17790,2
17791,4
17792,5
17793,5
17794,3
17795,9
17796,6
17797,8
17798,8
17799,3
17800,7
17801,2
17802,7
17803,7
17804,7
17805,5
17806,6
17807,4
17808,0
17809,9
17810,6
17811,2
17812,4
17813,5
17814,5
17815,5
17816,5
17817,4
17818,5
17819,8
17820,7
17821,3
17822,4
17823,7
17824,4
17825,8
17826,6
17827,6
17828,6
17829,6
17830,2
17831,6
17832,6
17833,1
17834,3
17835,6
17836,3
17837,1
17838,5
17839,2
17840,3
17841,6
17842,5
17843,4
17844,5
17845,6
17846,5
17847,6
17848,6
17849,7
17850,8
17851,6
17852,4
17853,6
17854,6
17855,4
17856,7
17857,6
17858,5
17859,8
17860,8
17861,5
17862,4
17863,4
17864,5
17865,7
17866,8
17867,4
17868,5
17869,5
17870,5
17871,0
17872,7
17873,5
17874,5
17875,0
17876,4
17877,5
17878,6
17879,3
17880,1
17881,1
17882,2
17883,3
17884,7
17885,3
17886,4
17887,4
17888,5
17889,7
17890,6
17891,3
17892,3
17893,2
17894,4
17895,7
17896,8
17897,5
17898,9
17899,3
17900,6
17901,7
17902,7
17903,6
17904,4
17905,7
17906,6
17907,8
17908,4
17909,5
17910,4
17911,3
17912,3
17913,5
17914,2
17915,7
17916,2
17917,5
17918,4
17919,2
17920,5
17921,1
17922,3
17923,6
17924,6
17925,2
17926,2
17927,6
17928,1
17929,2
17930,3
17931,3
17932,5
17933,6
17934,6
17935,6
17936,5
17937,6
17938,2
17939,4
17940,2
17941,8
17942,7
17943,4
17944,3
17945,5
17946,6
17947,6
17948,3
17949,4
17950,3
17951,3
17952,6
17953,2
17954,6
17955,6
17956,6
17957,5
17958,6
17959,6
17960,3
17961,5
17962,2
17963,6
17964,6
17965,8
17966,6
17967,4
17968,8
17969,6
17970,7
17971,6
17972,5
17973,7
17974,7
17975,6
17976,7
17977,7
17978,7
17979,4
17980,7
17981,7
17982,3
17983,6
17984,7
17985,7
17986,7
17987,7
17988,7
17989,6
17990,7
17991,7
17992,5
17993,6
17994,3
17995,5
17996,6
17997,5
17998,7
17999,6
18000,7
18001,8
18002,4
18003,4
18004,3
18005,2
18006,3
18007,4
18008,7
18009,5
18010,3
18011,4
